serogroup	1_92_S1counts	25_92_S25counts	49_92_S49counts	73_92_S73counts	2_94_S2counts	26_94_S26counts	50_94_S50counts	74_94_S74counts	3_96_S3counts	27_96_S27counts	51_96_S51counts	75_96_S75counts	4_97_S4counts	28_97_S28counts	52_97_S52counts	76_97_S76counts	5_98_S5counts	29_98_S29counts	53_98_S53counts	77_98_S77counts	6_99_S6counts	30_99_S30counts	54_99_S54counts	78_99_S78counts	7_100_S7counts	31_100_S31counts	55_100_S55counts	79_100_S79counts	8_111_S8counts	32_111_S32counts	56_111_S56counts	80_111_S80counts	9_112_S9counts	33_112_S33counts	57_112_S57counts	81_112_S81counts	10_116_S10counts	34_116_S34counts	58_116_S58counts	82_116_S82counts	11_117_S11counts	35_117_S35counts	59_117_S59counts	83_117_S83counts	12_118_S12counts	36_118_S36counts	60_118_S60counts	84_118_S84counts	13_119_S13counts	37_119_S37counts	61_119_S61counts	85_119_S85counts	14_120_S14counts	38_120_S38counts	62_120_S62counts	86_120_S86counts	15_131_S15counts	39_131_S39counts	63_131_S63counts	87_131_S87counts	16_132_S16counts	40_132_S40counts	64_132_S64counts	88_132_S88counts	17_133_S17counts	41_133_S41counts	65_133_S65counts	89_133_S89counts	18_134_S18counts	42_134_S42counts	66_134_S66counts	90_134_S90counts	19_135_S19counts	43_135_S43counts	67_135_S67counts	91_135_S91counts	20_136_S20counts	44_136_S44counts	68_136_S68counts	92_136_S92counts	21_137_S21counts	45_137_S45counts	69_137_S69counts	93_137_S93counts	22_138_S22counts	46_138_S46counts	70_138_S70counts	94_138_S94counts	23_139_S23counts	47_139_S47counts	71_139_S71counts	95_139_S95counts	24_ctrl_S24counts	48_ctrl_S48counts	72_ctrl_S72counts	96_ctrl_S96counts
O84	0	0	0	0	0	0	0	0	0	0.029	0	0	0.042	0.044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.361	3.237	0.066	0	0	0.047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.476	0	0	0	0
O80	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.054	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.309	0.183	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0
O71A	0	0	0	0	0	0	0	0	0	0	0	0	10.476	13.523	10.156	55.556	0	0	0	0	0	0	0	0	0.047	0.04	0	0	0.035	0	0	0	0.053	0.084	0	0	0	0	0	0	0.096	0.075	0.094	0.111	0	0.04	0.19	0.207	0.1	0.51	0.058	0	0	0	0	0	0.255	0.481	1.975	0.446	0	0	0	0.168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044	0	0.047	0	0	0	0	0	0	0	0	0	0	0	0	0
O70B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.969	0.669	0.759	4.175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0.058	0	0	0	0	0	0.468	0.16	2.041	0.446	0	0	0	0	0	0	0	0	0	0.025	0	0.168	0	0	0	0	1.451	0.377	5.98	15.876	0.132	0	1.912	4.819	0	0	0	0	0	0	0	0	0	0	0	0
O70A	0	0	0.048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032	0	0	0	0	0	0	0	0	0	0	0	0.074	0	0.052	0.053	0	0	0	0	0	0	0	0.096	0.113	0	0	0.054	0.04	0.052	0	0	0	0	0	0.035	0.028	0	0	0	0.128	0	0	9.724	10.681	3.316	1.34	0	0	0	0	0	0	0	0	0	0.029	0	0	0.035	0	0.04	0	0	0.046	0.047	0	0	0	0	0	0	0	0	0	0	0	0	0
O6F	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044	0	0	0	0	0	0	16.5	21.151	17.052	22.632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.085	0.096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.047	0	0	0	0	0	0.124	0.407	0	0	0	0	0	0
O66	0	0	0	0	0	0	0	0	0	0	0	0	0.083	0.178	0.781	1.852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282	0	0.108	0.202	0.173	0	0	0	0	0	0.07	0.055	0	0	0	0	0	0	0	0	0	0	0.12	0.035	0	0.162	0	0	0	0	0	0	0	0	0	0	0	0.069	0.044	0.092	0.047	0	0	0	0	0	0	0	0	0	0	0	0	0
O62	0	0	0	0	0	0	0	0	0	0	0	0	0.501	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0.154	0	0.069	0.037	0	0	0.21	0.168	0	0	0	0	0	0	0	0	0	0.111	1.03	0.323	0.259	0.414	0	0	0	0	0	0	0	0	0	0.128	0	0	0	0.047	0.057	0	0	0	0	0	0.03	0.025	0	0	0.181	0.232	0.11	0	0.173	0.319	0.238	0.069	0.794	0.641	2.565	0.964	0	0.032	0.039	0	0.248	0.203	0	0	0	0	0	0
O5A	0.044	0.063	0.096	0	0	0.088	0	0	0	0	0	0	0	0	0	0	0.039	0	0	0	0.083	0	0	0	0	0.04	0	0	0.035	0.037	0.045	0	0.053	0.042	0	0	0	0	0	0	0	0	0	0	6.725	7.276	4.261	4.654	0	0	0	0	0.035	0.028	0	0	0	0	0.066	0	0	0	0	0	0	0	0	0	0.06	0.051	0	0	0.145	0.145	0	0.82	0.622	0.841	0.238	0.206	3.31	3.799	1.073	0.241	1.021	1.13	0.275	0.365	0	0.102	0	0	0	0	0	0
O57	0	0.063	0.048	0	0	0	0	0	0	0	0	0	0	0.178	0	0	0	0	0	0	0	0	0	0	0.047	0	0	0	0.035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.108	0.081	0.069	0	0	0	0	0	0.035	0.028	0	0	0.085	0.128	0	0	9.095	10.255	21.67	14.908	0	0	0	0	0	0	0	0	0	0.029	0	0	0.276	0.406	0.158	0.069	0.132	0.366	0.093	0	0.049	0.065	0	0.146	0	0	0	0	0	0	0	0
O56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.163	0.04	0.104	0.103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O55A	0	0.032	0.096	0.083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.208	0.149	0.045	0.418	0	0	0	0.052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.043	0.096	0.132	0	0.048	0.189	0.057	0	0.04	0.071	0	0.162	0	0	0.102	0	0	0.029	0	0	0	0.029	0	0	35.04	38.352	25.373	20.723	0	0	0	0	0	0	0	0	19.311	44.406	0	0
O53A	0	0	0	0	0	0	0	0	0	0	0	0	0	0.089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0	0	0	0	0	0	0.052	0	0	0	0	0.048	0	0	0.222	0	0	0	0	0	0	0	0	0	0	0	0	0.085	0.032	0.066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.029	0	0	0	0	0	0	0	0	0.093	0.241	0	0	0	0	0	0	0	0	0	0	0	0
O51B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.093	0	0	0	0	0	0	0	0.053	0.084	0	0	0	0	0	0	0	0	0	0	0.434	0.081	0.19	0.207	0	0	0	0	0	0.028	0	0	0.17	0.321	0.132	0	0.048	0.189	0	0.67	0	0	0	0	0	0	0	0	0.036	0.087	0	0	0	0	0	0	0.309	0.229	0.187	0	0	0	0	0	0	0	0	0	0	0	0	0
O46B	0	0	0.144	0	0.041	0	0	0	0	0	0	0	0	0	0.26	0	0	0	0	0	0	0	0	0	0	0	0.077	0	0.07	0.149	0	0	7.196	8.173	1.144	0.727	0	0	0	0	0	0	0.094	0	0.108	0.04	0.086	0.207	0	0	0	0	0	0	0	0	0.085	0.064	0	0	0	0	0	0	0	0	0	0.162	0	0	0	0	0	0	0.11	0	0	0	0.079	0	0	0	0.28	0	0.049	0.226	0.039	0	1.361	2.848	0	0	0	0	0	0
O45B	0	0	0.048	0	0	0	0.08	0	0	0	0	0	0.251	0.133	0	0	0	0.096	0.148	0	0.083	0.081	0	0	0	0	0	0	0.104	0.149	0	0.104	46.542	42.836	6.14	4.987	75.611	82.3	36.576	51.51	2.834	2.637	3.766	1.221	0.271	0.162	0.207	0	0	0	0	0	60.066	50.359	12.613	0	0.213	0.32	0	0	0	0	0	0	0	0	0	0	0	0	0.051	0	0	0	0	0	0	0	0	0	0	0	0	0	0.049	0	0	0	0	0	0	0.476	25.549	0.199	70.166	0
O38B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.104	1.471	1.551	0.496	0.156	0	0	0	0	0	0	0	0.111	0	0	0	0	16.324	43.084	26.145	23.367	0	0	0	0	0	0.064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036	0	0	0	0	0	0	0	0	0	0.513	2.41	0	0	0	0	0	0.102	0	0	0	0	0	0
O37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26	0	0.233	0.032	0	0	0	0	0	0	0	0	0.077	0	0.035	0.037	0.045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.035	0	0	0	0	0	0	0	0	0	0.043	0	0.066	0	0	0	0	0	0	0	0	0	0	0	0.051	0	0	0	0	0	1.002	1.565	0.95	0.619	0	0	0.093	0	0	0	0	0	0	0	0	0	0	0	0	0
O36	0	0	0	0	0	0	0	0	0	0	0	0	0.459	1.068	0.521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037	0.045	0.052	0.053	0	0	0	0	0	0	0	0	0	0	0	0.434	0.566	0.207	0	0	0	0	0	0	0	0	0	0	0.032	0.197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.069	0.971	0.778	0.606	0.482	0.34	0.129	0	0.073	0	0	0	0	0	0	0	0
O32	0	0.126	0.096	0	0.163	0.029	0	0	0	0	0	0	0.626	1.201	0	0	0	0.127	0.049	0	0	0	0	0	2.467	3.834	0	0	1.004	2.194	0.134	0.104	0.473	0.88	0.038	0.052	0	0	0	0	0	0	0	0	1.302	1.293	0.69	0.517	0	0	0	0	2.096	2.923	0.122	0	0.893	2.949	0.856	0	2.128	2.363	4.86	4.188	0.598	0.991	0.064	0	0.241	0.228	0.051	0	0.398	0.959	0.11	0	3.525	8.464	1.98	3.643	2.692	2.289	1.959	2.892	8.317	11.56	3.653	6.72	0	0.203	0	0	0	0	0	0
O3	0	0	0.048	0.083	0.081	0.877	0	0	0.029	0	0	0	0.417	0.623	0.26	0	0	0.032	0	0	0.167	0.243	0.11	0.702	0	0	0	0	0	0	0	0	0.21	0.21	0.038	0	0	0	0	0	0	0	0	0	0.976	1.536	0.638	0.724	0	0	0	0	0	0	0	0	2.211	1.378	1.712	3.571	0	0.047	0	0	0	0	0	0	0	0	0	0	0.036	0.058	0.11	0	0.035	0.029	0	0	0.177	0.275	0.233	0	0.097	0.097	0.039	0	0	0	0.15	0	0	0	0	0
O26C	0	0	0.048	0	0	0	0	0	0	0	0	0	2.504	2.625	1.823	5.556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.042	0	0	0	0	0	0	0	0	0	0	0	0.04	0.052	0	0	0	0	0	0	0	0	0	0.128	0.096	0	0	4.354	3.875	3.03	2.01	0	0	0	0	0	0	0	0	0.253	0.116	0	0	0	0	0	0.069	0	0.092	0	0	0	0.065	0	0	0	0	0	0	8.675	3.58	0	0
O25A	2.936	2.084	9.235	9.492	0.041	0.146	0	1.544	0.606	0.522	0.244	0	1.252	1.69	0.781	1.852	1.672	2.836	1.92	0.775	0	0.081	0.11	0	0.372	0.847	0.461	1.205	51.817	40.387	64.018	54.175	2.416	3.018	0.42	0.104	0.404	0.572	0.465	0.399	19.068	19.774	24.011	21.199	14.859	13.622	18.837	10.651	0.05	0.227	0.058	0.251	8.071	8.66	8.816	83.333	1.701	1.442	2.172	6.25	0.387	0.378	0.686	0	11.204	8.956	15.325	23.14	0	0	0	0	0	0	0.11	0	19.903	16.58	16.871	24.674	12.048	10.938	9.935	4.337	2.918	3.035	6.991	13.148	0	0	0	0	0	0	0	0
O23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.124	1.322	0	0	0	0	0	0
O22A	0.088	0.032	0.096	0	0	0	0	0	0	0	0	0	0	0.044	0.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0	0	0	0	0.168	0.038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.058	0	0	0	0	0	0	0	0	0.047	0	0	0	0	0	0	0	0.15	0	0	0	0	0
O187	0	0	0	0	0	0	0	0	0	0	0	0	0	0.089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0.037	0	0	0.053	0.042	0	0	0	0	0	0	0.096	0.075	0.565	0.333	0	0	0.052	0	0	0	0	0	0	0	0	0	0.085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0.124	0.203	0	0	0	0	0	0
O176A	2.235	1.483	6.108	6.161	0	0.205	0.239	0	90.972	91.962	95.234	97.71	0.709	0.533	0.26	0	0.389	0.287	0.344	0.775	0.083	0.081	0	0.175	4.61	5.407	8.373	1.204	0.035	0.074	0.09	0.104	4.57	4.191	84.821	87.222	0	0.048	0.174	0.14	0.096	0.075	0.188	0	0	0	0.173	0.31	0	0	0	0	0.454	0.442	0.98	0	0.128	0.128	0.658	0.446	2.225	2.08	5.145	12.062	0	0.07	0.128	0	0.24	0.38	0.972	0.251	0.433	0.145	0.221	1.23	6.6	4.58	7.922	5.843	0.397	0.366	1.773	4.096	6.225	5.908	35.347	5.77	0	0	0	0	0	0	0	0
O174C	0	0	0.048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0.446	0	0	0.105	0.126	0	0	0	0	0	0	0	0	0	0	0	0.04	0.017	0	0	0	0	0	0	0	0	0	0	0.032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.102	0	0	0	0	0	0
O160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.039	0	0	0	0	0	0	0	0	0	0	0	0	0.037	0.045	0	4.779	4.904	0.534	0.312	0	0	0	0	0	0	0	0	4.826	5.053	2.708	1.758	0	0	0	0	0	0.028	0	0	0	0.032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.072	0	0	0	0	0	0	0	0.265	0.229	0.093	0.723	0	0	0	0	0	0	0	0	0	0	0	0
O16	0.131	0.126	0.048	0.167	0	0	0	0	0	0	0	0	0.167	0.845	0.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0.104	0.149	0.089	0.052	0.053	0	0.038	0	0	0	0	0	0.048	0.038	0	0	0.976	1.011	0.863	0.827	0	0	0	0	0.664	0.359	0.163	0	2.381	2.436	1.251	0.446	1.403	1.607	1.086	1.005	1.236	0.991	0.255	0.162	0.09	0.025	0	0	0.217	0.232	0	0	0	0.087	0.04	0	1.942	1.648	0.886	0.482	0.195	0.161	0.039	0	0	0	0	0	0	0	0	0
O15B	1.884	2.304	1.78	2.331	0	0	0	0	0	0	0	0	0.417	1.246	1.563	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0.138	0.223	0.134	0.104	3.571	6.412	0.458	0.727	0.029	0	0	0	0.048	0	0	0	0.054	0.04	0.155	0.103	0.551	0.68	0.116	0	0.07	0.055	0.041	0	0	0	0.329	0	0	0	0	0	0.04	0.106	0.064	0.162	0	0	0	0	0	0	0	0	0.657	1.42	0.554	0.825	0.044	0.046	0.933	0.241	0.34	0.355	0.432	0.219	0	0	0	0	0	0	0	0
O159	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.053	0.126	0	0	0	0	0	0	0	0	0	0	0	0	0.017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.047	0	2.626	2.841	2.16	2.922	0	0	0	0	0	0	0	0
O157D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0.446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.272	22.775	0	100
O156C	0	0	0	0	0	0	0	0	0	0	0	0	0.209	0.044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.069	0.186	0	0	0	0.084	0	0.052	0	0	0	0	0	0	0	0	0.108	0.404	0.069	0	0	0	0	0	0	0	0	0	0.043	0.032	0	0	0	0	0	0	0	0	0	0	0.12	0.076	0	0	0	0.058	0	0	0	0	0	0	0.221	0.092	0.093	0.241	0.049	0	0.118	0.146	0.371	0.305	0	0	0	0	0	0
O153C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.053	0.042	0	0.052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032	0	0	0	0	0	0	0	0	0	0	0.541	0.558	0.205	2.261	0	0	0	0	0	0	0	0	0	0.046	0.047	0	0	0	0	0	0	0	0	0	0	0	0	0
O153A	0.964	0.537	2.116	2.498	18.261	26.896	8.361	3.089	0.635	0.464	0.081	0	15.651	12.051	34.633	0	72.323	66.161	49.136	41.86	0.333	0.243	0.11	0	70.207	65.331	71.97	4.819	8.862	12.048	7.592	2.662	2.627	2.012	1.678	1.455	6.778	5.147	5.578	3.45	5.139	2.825	10.828	1.11	22.883	18.267	29.256	17.166	0	0	0	0	2.691	4.495	0.98	0	39.505	35.671	47.731	13.392	0.097	0.236	1.029	1.508	18.901	17.838	6.706	4.046	22.368	25.064	69.765	3.016	0	0	0	0	0	0.029	0	0	0.441	0.137	4.572	1.687	0.049	0.194	0.079	0.073	0	0.305	0	0.476	0.059	0.099	0	0
O15	0.131	0.505	0.337	0.167	0	0	0	0	0	0	0	0	0.042	0	0	0	0	0.032	0	0	0	0	0	0	0.047	0	0	0	0.069	0	0	0	0.105	0.042	0	0	0	0.024	0	0	0.144	0.151	0.094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.119	0.446	0.097	0	0	0	0.359	0.496	0.255	0	0.03	0.025	0	0	0.072	0	0	0	0.173	0.29	0.158	0	0.706	0.503	0.28	0	0.097	0.226	0.393	0	0.124	0.102	0	0	0	0	0	0
O149B	0	0	0	0	0	0	0	0	0	0	0	0	0.083	0.089	0	0	0	0	0	0	18.417	13.371	17.162	13.509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111	0.108	0.121	0.052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.159	0.212	0.064	0.162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O146B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.271	0.404	0.104	0	0	0	0	0	0	0.028	0	0	0.085	0.064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.241	0	0	0	0	0	0	0	0	0	0	0	0
