clustValue	serogroup	seqLength	ClusterNum	repSequence	reads15thou	mostAbundant
0.996	id0004467	284	14	0	10	n
0.996	id0005681	284	14	0	22	n
0.996	id0008444	284	14	0	10	n
0.996	id0008972	284	14	0	14	n
0.996	id0009671	284	14	0	18	n
0.996	id0011743	284	14	0	39	n
0.996	id0011883	284	14	0	25	n
0.996	id0012653	284	14	0	32	n
0.996	id0015022	284	14	0	18	n
0.996	id0017484	284	14	0	11	n
0.996	id0017529	284	14	0	51	n
0.996	id0017637	284	14	0	20	n
0.996	id0018041	284	14	0	16	n
0.996	id0018290	284	14	0	18	n
0.996	id0018871	284	14	0	26	n
0.996	id0019968	284	14	0	30	n
0.996	id0021116	284	14	0	12	n
0.996	id0022557	284	14	0	11	n
0.996	id0023363	284	14	0	15	n
0.996	id0023983	284	14	0	29	n
0.996	id0024145	284	14	0	14	n
0.996	id0030624	284	14	0	11	n
0.996	id0034756	284	14	0	19	n
0.996	id0035583	284	14	0	16	n
0.996	id0036068	284	14	0	18	n
0.996	id0038373	284	14	0	15	n
0.996	id0024342	284	14	0	10	n
0.996	id0035572	284	14	0	10	n
0.996	O66	284	15	1	44	y
0.996	O46B	284	16	1	409	y
0.996	id0017737	284	16	0	52	n
0.996	O38B	284	17	1	84	n
0.996	id0016527	284	17	0	1655	y
0.996	O159	284	18	1	245	y
0.996	O139B	284	19	1	18	y
0.996	O187	284	20	1	13	n
0.996	id0028740	284	20	0	15	y
0.996	O8D	284	21	1	34	y
0.996	O140	284	22	1	40	y
0.996	O119A	284	23	1	84	y
0.996	O36	284	24	1	146	y
0.996	O9A	284	25	1	298	y
0.996	O130B	284	26	1	10	y
0.996	O90A	284	27	1	17822	y
0.996	id0002377	284	27	0	11	n
0.996	id0002986	284	27	0	14	n
0.996	id0003157	284	27	0	14	n
0.996	id0003158	284	27	0	11	n
0.996	id0003181	284	27	0	21	n
0.996	id0006334	284	27	0	15	n
0.996	id0007362	284	27	0	18	n
0.996	id0008212	284	27	0	23	n
0.996	id0008337	284	27	0	87	n
0.996	id0010235	284	27	0	31	n
0.996	id0010443	284	27	0	41	n
0.996	id0010747	284	27	0	10	n
0.996	id0012460	284	27	0	16	n
0.996	id0012582	284	27	0	10	n
0.996	id0012655	284	27	0	11	n
0.996	id0014563	284	27	0	14	n
0.996	id0016773	284	27	0	10	n
0.996	id0019919	284	27	0	12	n
0.996	id0020630	284	27	0	16	n
0.996	id0021365	284	27	0	40	n
0.996	id0023238	284	27	0	42	n
0.996	id0029756	284	27	0	17	n
0.996	id0030603	284	27	0	13	n
0.996	id0031355	284	27	0	27	n
0.996	id0031397	284	27	0	22	n
0.996	id0035451	284	27	0	28	n
0.996	id0037364	284	27	0	21	n
0.996	id0026600	284	27	0	10	n
0.996	id0034773	284	27	0	10	n
0.996	O70B	284	28	1	677	y
0.996	id0025175	284	28	0	20	n
0.996	O115B	284	29	1	42	y
0.996	O5A	284	30	1	937	y
0.996	O8A	284	31	1	85	y
0.996	O10	284	32	1	14	y
0.996	O156C	284	33	1	65	y
0.996	O16	284	34	1	622	y
0.996	O62	284	35	1	223	y
0.996	O174C	284	36	1	23	y
0.996	O15	284	37	1	158	y
0.996	id0036142	284	37	0	11	n
0.996	O123B	284	38	1	93	y
0.996	O37	284	39	1	121	y
0.996	id0014891	284	39	0	15	n
0.996	O103B	284	40	1	1024	y
0.996	OND	284	41	1	6780	n
0.996	O2D	284	41	0	13313	y
0.996	id0003614	284	41	0	11	n
0.996	id0003655	284	41	0	20	n
0.996	id0012112	284	41	0	14	n
0.996	id0021159	284	41	0	27	n
0.996	id0021488	284	41	0	14	n
0.996	id0022717	284	41	0	16	n
0.996	id0035089	284	41	0	17	n
0.996	O146B	284	42	1	27	y
0.996	O80	284	43	1	17	y
0.996	O57	284	44	1	944	y
0.996	O113	284	45	1	682	y
0.996	O70A	284	46	1	520	y
0.996	O32	284	47	1	2403	y
0.996	id0001814	284	47	0	13	n
0.996	O153C	284	48	1	77	y
0.996	O98	284	49	1	55	y
0.996	O25A	284	50	1	106	n
0.996	id0021813	284	50	0	14141	y
0.996	O26C	284	51	1	612	y
0.996	O126A	284	52	1	33	y
0.996	O129B	284	53	1	17	y
0.996	O53A	284	54	1	15	y
0.996	O145A	284	55	1	30	n
0.996	O145B	284	55	0	815	y
0.996	O149B	284	56	1	644	y
0.996	O91D	284	57	1	441	y
0.996	O23	284	58	1	16	y
0.996	O153A	284	59	1	22823	y
0.996	id0000069	284	59	0	28	n
0.996	id0005064	284	59	0	13	n
0.996	id0005088	284	59	0	51	n
0.996	id0005272	284	59	0	48	n
0.996	id0008043	284	59	0	15	n
0.996	id0008493	284	59	0	13	n
0.996	id0009604	284	59	0	71	n
0.996	id0009831	284	59	0	10	n
0.996	id0010122	284	59	0	19	n
0.996	id0013010	284	59	0	32	n
0.996	id0014827	284	59	0	11	n
0.996	id0015449	284	59	0	12	n
0.996	id0015748	284	59	0	14	n
0.996	id0019412	284	59	0	17	n
0.996	id0020594	284	59	0	14	n
0.996	id0021508	284	59	0	59	n
0.996	id0022334	284	59	0	24	n
0.996	id0023201	284	59	0	22	n
0.996	id0023631	284	59	0	20	n
0.996	id0024293	284	59	0	17	n
0.996	id0024620	284	59	0	46	n
0.996	id0025132	284	59	0	16	n
0.996	id0025594	284	59	0	21	n
0.996	id0025680	284	59	0	26	n
0.996	id0027168	284	59	0	18	n
0.996	id0027563	284	59	0	15	n
0.996	id0028957	284	59	0	69	n
0.996	id0029280	284	59	0	53	n
0.996	id0029602	284	59	0	46	n
0.996	id0030173	284	59	0	15	n
0.996	id0033175	284	59	0	12	n
0.996	id0035765	284	59	0	27	n
0.996	id0036053	284	59	0	12	n
0.996	id0038330	284	59	0	19	n
0.996	id0022161	284	59	0	10	n
0.996	id0032295	284	59	0	10	n
0.996	id0035297	284	59	0	10	n
0.996	O109C	284	60	1	2520	y
0.996	O56	284	61	1	12	y
0.996	O107	284	62	1	115	y
0.996	O14	284	63	1	189	y
0.996	O11	284	64	1	253	y
0.996	O157D	284	65	1	2660	y
0.996	id0013297	284	65	0	18	n
0.996	O71A	284	66	1	717	y
0.996	O88B	284	67	1	38	y
0.996	O111	284	68	1	53	y
0.996	id0000079	284	69	1	11	y
0.996	id0000165	284	70	1	12	n
0.996	id0014734	284	70	0	27	y
0.996	id0000225	284	71	1	48	y
0.996	id0011890	284	71	0	10	n
0.996	id0000567	284	72	1	16	y
0.996	id0000881	284	73	1	10	y
0.996	id0001049	284	74	1	18	y
0.996	id0001779	284	75	1	10	y
0.996	id0002093	284	76	1	12	y
0.996	id0002263	284	77	1	22	n
0.996	id0019251	284	77	0	9143	y
0.996	id0002321	284	78	1	13	n
0.996	id0008706	284	78	0	49	y
0.996	id0002348	284	79	1	11	y
0.996	id0002942	284	80	1	21	y
0.996	id0003486	284	81	1	18	y
0.996	id0003736	284	82	1	13	y
0.996	id0003895	284	83	1	11	y
0.996	id0004018	284	84	1	11	y
0.996	id0004712	284	85	1	10	n
0.996	id0017504	284	85	0	24	y
0.996	id0005282	284	86	1	17	y
0.996	id0005513	284	87	1	10	y
0.996	id0006357	284	88	1	1164	y
0.996	id0017227	284	88	0	24	n
0.996	id0006380	284	89	1	1144	n
0.996	id0013376	284	89	0	2135	y
0.996	id0006719	284	90	1	10	y
0.996	id0006919	284	91	1	11	y
0.996	id0032425	284	91	0	10	n
0.996	id0007417	284	92	1	11	y
0.996	id0007472	284	93	1	10	y
0.996	id0008320	284	94	1	45	y
0.996	id0030184	284	94	0	19	n
0.996	id0008511	284	95	1	14	y
0.996	id0008663	284	96	1	11	y
0.996	id0008787	284	97	1	12	y
0.996	id0008952	284	98	1	12	y
0.996	id0023567	284	98	0	11	n
0.996	id0008954	284	99	1	14	y
0.996	id0008956	284	100	1	10	y
0.996	id0009251	284	101	1	11	y
0.996	id0009395	284	102	1	16	n
0.996	id0025524	284	102	0	20	y
0.996	id0009550	284	103	1	18	y
0.996	id0009760	284	104	1	11	n
0.996	id0036366	284	104	0	15	y
0.996	id0009882	284	105	1	17	y
0.996	id0010054	284	106	1	29	y
0.996	id0010195	284	107	1	10	n
0.996	id0027620	284	107	0	31	y
0.996	id0010669	284	108	1	10	y
0.996	id0010875	284	109	1	23	y
0.996	id0018070	284	109	0	16	n
0.996	id0010917	284	110	1	13	y
0.996	id0011444	284	111	1	20	y
0.996	id0011511	284	112	1	114	y
0.996	id0011535	284	113	1	12	n
0.996	id0031924	284	113	0	5935	y
0.996	id0011600	284	114	1	42	y
0.996	id0011658	284	115	1	10	n
0.996	id0016239	284	115	0	12	y
0.996	id0011746	284	116	1	12	y
0.996	id0011932	284	117	1	15	y
0.996	id0012029	284	118	1	15	y
0.996	id0020628	284	118	0	10	n
0.996	id0012369	284	119	1	30	y
0.996	id0012371	284	120	1	14	y
0.996	id0012797	284	121	1	16	y
0.996	id0013208	284	122	1	15	y
0.996	id0013736	284	123	1	45	y
0.996	id0014427	284	124	1	29	y
0.996	id0014628	284	125	1	15	y
0.996	id0014691	284	126	1	18	y
0.996	id0015317	284	127	1	38	y
0.996	id0015464	284	128	1	31	y
0.996	id0015475	284	129	1	15	n
0.996	id0017255	284	129	0	433	y
0.996	id0015632	284	130	1	14	n
0.996	id0037989	284	130	0	19	y
0.996	id0016184	284	131	1	11	y
0.996	id0016925	284	132	1	11	y
0.996	id0016970	284	133	1	17	y
0.996	id0017556	284	134	1	15	n
0.996	id0030883	284	134	0	44	y
0.996	id0017589	284	135	1	26	n
0.996	id0038081	284	135	0	31	y
0.996	id0018384	284	136	1	44	y
0.996	id0018485	284	137	1	12	y
0.996	id0018600	284	138	1	11	y
0.996	id0018914	284	139	1	19	n
0.996	id0036098	284	139	0	23	y
0.996	id0018949	284	140	1	39	y
0.996	id0019162	284	141	1	14	y
0.996	id0019519	284	142	1	24	n
0.996	id0038816	284	142	0	53	y
0.996	id0020252	284	143	1	63	y
0.996	id0020296	284	144	1	23	y
0.996	id0020381	284	145	1	11	y
0.996	id0020436	284	146	1	19	y
0.996	id0020544	284	147	1	20	y
0.996	id0020793	284	148	1	16	y
0.996	id0022421	284	149	1	30	n
0.996	id0030461	284	149	0	39	y
0.996	id0022532	284	150	1	27	y
0.996	id0022747	284	151	1	18	y
0.996	id0022891	284	152	1	13	y
0.996	id0022970	284	153	1	17	y
0.996	id0023159	284	154	1	15	y
0.996	id0023228	284	155	1	19	y
0.996	id0023392	284	156	1	51	y
0.996	id0023541	284	157	1	22	y
0.996	id0023661	284	158	1	24	y
0.996	id0024026	284	159	1	15	y
0.996	id0024130	284	160	1	17	y
0.996	id0024826	284	161	1	2139	y
0.996	id0037326	284	161	0	10	n
0.996	id0024834	284	162	1	41	y
0.996	id0024924	284	163	1	2326	y
0.996	id0025033	284	164	1	24	y
0.996	id0025240	284	165	1	35	y
0.996	id0025290	284	166	1	16	y
0.996	id0025790	284	167	1	12	y
0.996	id0026101	284	168	1	34	y
0.996	id0026488	284	169	1	21	y
0.996	id0026738	284	170	1	16	y
0.996	id0027076	284	171	1	13	y
0.996	id0027145	284	172	1	17	y
0.996	id0027564	284	173	1	83	y
0.996	id0027823	284	174	1	18	y
0.996	id0028094	284	175	1	14	y
0.996	id0028125	284	176	1	14	y
0.996	id0028162	284	177	1	20	y
0.996	id0028275	284	178	1	12	y
0.996	id0028470	284	179	1	39	y
0.996	id0028752	284	180	1	20	y
0.996	id0028770	284	181	1	11	y
0.996	id0029293	284	182	1	13	y
0.996	id0029543	284	183	1	22	y
0.996	id0029794	284	184	1	26	y
0.996	id0030295	284	185	1	11	y
0.996	id0030392	284	186	1	14	y
0.996	id0030554	284	187	1	11	y
0.996	id0030717	284	188	1	46	y
0.996	id0030796	284	189	1	16	y
0.996	id0031642	284	190	1	57	y
0.996	id0031845	284	191	1	79	y
0.996	id0032711	284	192	1	16	y
0.996	id0033416	284	193	1	27	y
0.996	id0033566	284	194	1	25	y
0.996	id0034145	284	195	1	33	y
0.996	id0034188	284	196	1	22	y
0.996	id0034911	284	197	1	16	y
0.996	id0034958	284	198	1	12	y
0.996	id0035009	284	199	1	311	y
0.996	id0035490	284	200	1	14	y
0.996	id0035526	284	201	1	23	y
0.996	id0035719	284	202	1	46	y
0.996	id0036286	284	203	1	11	y
0.996	id0036569	284	204	1	26	y
0.996	id0036786	284	205	1	69	y
0.996	id0036825	284	206	1	51	y
0.996	id0037261	284	207	1	225	y
0.996	id0037495	284	208	1	27	y
0.996	id0038379	284	209	1	17	y
0.996	id0038474	284	210	1	21	y
0.996	id0038986	284	211	1	12	y
0.996	id0039189	284	212	1	15	y
0.996	id0016832	284	213	1	10	y
0.996	id0018161	284	214	1	10	y
0.996	id0020204	284	215	1	10	y
0.996	id0021026	284	216	1	10	y
0.996	id0035077	284	217	1	10	y
